Program Year,Program,SFA ID,SFA Name,Claim Date,Meal Type,Number of Sites/Centers/Providers,Total Enrolled,Number of Operating/Serving Days,Free Meals Served,Reduced Price Meals Served,Paid Meals Served,Total Meals Served,Non-Program Adult Meals,Average Daily Attendance (ADA)
2019 - 2020,School Nutrition Programs,83,Russell County Public Schools,02/01/2020,3. Lunch,11,"3,712",16,"23,803","1,991","6,034","31,828",,"3,397"
2019 - 2020,School Nutrition Programs,83,Russell County Public Schools,03/01/2020,1. Breakfast,11,"3,712",9,"7,438",488,"1,206","9,132",,"3,413"
2019 - 2020,School Nutrition Programs,83,Russell County Public Schools,03/01/2020,3. Lunch,11,"3,712",9,"13,583","1,134","3,603","18,320",,"3,413"
2019 - 2020,School Nutrition Programs,84,Scott County Public Schools,09/01/2019,1. Breakfast,13,"3,537",20,"20,272","1,735","6,788","28,795",,"3,417"
2019 - 2020,School Nutrition Programs,84,Scott County Public Schools,09/01/2019,3. Lunch,13,"3,537",20,"30,731","3,216","13,097","47,044",,"3,417"
2019 - 2020,School Nutrition Programs,84,Scott County Public Schools,09/01/2019,4. PM Snack,1,351,20,942,0,0,942,,339
2019 - 2020,School Nutrition Programs,84,Scott County Public Schools,10/01/2019,1. Breakfast,13,"3,636",23,"23,231","1,815","7,980","33,026",,"3,385"
2019 - 2020,School Nutrition Programs,84,Scott County Public Schools,10/01/2019,3. Lunch,13,"3,545",23,"35,045","3,146","15,474","53,665",,"3,388"
2019 - 2020,School Nutrition Programs,84,Scott County Public Schools,10/01/2019,4. PM Snack,1,352,23,910,0,0,910,,338
2019 - 2020,School Nutrition Programs,84,Scott County Public Schools,11/01/2019,1. Breakfast,13,"3,548",15,"14,616","1,164","4,891","20,671",,"3,355"
2019 - 2020,School Nutrition Programs,84,Scott County Public Schools,11/01/2019,3. Lunch,13,"3,548",15,"22,327","2,136","10,081","34,544",,"3,355"
2019 - 2020,School Nutrition Programs,84,Scott County Public Schools,11/01/2019,4. PM Snack,1,349,15,449,0,0,449,,331
2019 - 2020,School Nutrition Programs,84,Scott County Public Schools,12/01/2019,1. Breakfast,13,"3,547",15,"13,528","1,057","4,486","19,071",,"3,306"
2019 - 2020,School Nutrition Programs,84,Scott County Public Schools,12/01/2019,3. Lunch,13,"3,547",15,"21,452","1,953","9,805","33,210",,"3,306"
2019 - 2020,School Nutrition Programs,84,Scott County Public Schools,12/01/2019,4. PM Snack,1,347,15,530,0,0,530,,332
2019 - 2020,School Nutrition Programs,84,Scott County Public Schools,01/01/2020,1. Breakfast,13,"3,547",19,"17,496","1,331","5,498","24,325",,"3,359"
2019 - 2020,School Nutrition Programs,84,Scott County Public Schools,01/01/2020,3. Lunch,13,"3,547",19,"28,467","2,445","12,236","43,148",,"3,359"
2019 - 2020,School Nutrition Programs,84,Scott County Public Schools,02/01/2020,1. Breakfast,13,"3,534",16,"14,478","1,099","4,597","20,174",,"3,331"
2019 - 2020,School Nutrition Programs,84,Scott County Public Schools,02/01/2020,3. Lunch,13,"3,534",16,"23,651","2,354","10,006","36,011",,"3,331"
2019 - 2020,School Nutrition Programs,84,Scott County Public Schools,02/01/2020,4. PM Snack,1,335,16,450,0,0,450,,312
2019 - 2020,School Nutrition Programs,84,Scott County Public Schools,03/01/2020,1. Breakfast,13,"3,537",10,"9,194",722,"3,010","12,926",,"3,383"
2019 - 2020,School Nutrition Programs,84,Scott County Public Schools,03/01/2020,3. Lunch,13,"3,537",10,"15,038","1,253","6,397","22,688",,"3,383"
2019 - 2020,School Nutrition Programs,84,Scott County Public Schools,03/01/2020,4. PM Snack,1,336,10,361,0,0,361,,330
2019 - 2020,School Nutrition Programs,85,Shenandoah County Public Schools,09/01/2019,1. Breakfast,9,"6,059",20,"14,855","2,181","7,152","24,188",,"5,782"
2019 - 2020,School Nutrition Programs,85,Shenandoah County Public Schools,09/01/2019,3. Lunch,9,"6,059",20,"26,945","3,870","17,202","48,017",,"5,782"
2019 - 2020,School Nutrition Programs,85,Shenandoah County Public Schools,10/01/2019,1. Breakfast,9,"6,053",22,"19,179","2,126","6,750","28,055",,"5,770"
2019 - 2020,School Nutrition Programs,85,Shenandoah County Public Schools,10/01/2019,3. Lunch,9,"6,053",22,"31,511","4,110","18,303","53,924",,"5,770"
2019 - 2020,School Nutrition Programs,85,Shenandoah County Public Schools,11/01/2019,1. Breakfast,9,"6,039",17,"15,102","1,622","5,248","21,972",,"5,694"
2019 - 2020,School Nutrition Programs,85,Shenandoah County Public Schools,11/01/2019,3. Lunch,9,"6,039",17,"24,458","3,140","14,134","41,732",,"5,694"
2019 - 2020,School Nutrition Programs,85,Shenandoah County Public Schools,12/01/2019,1. Breakfast,9,"6,009",13,"10,928","1,224","3,720","15,872",,"5,679"
2019 - 2020,School Nutrition Programs,85,Shenandoah County Public Schools,12/01/2019,3. Lunch,9,"6,009",13,"18,977","2,433","11,167","32,577",,"5,679"
2019 - 2020,School Nutrition Programs,85,Shenandoah County Public Schools,01/01/2020,1. Breakfast,9,"5,999",17,"13,709","1,489","4,570","19,768",,"5,621"
2019 - 2020,School Nutrition Programs,85,Shenandoah County Public Schools,01/01/2020,3. Lunch,9,"5,999",17,"24,035","3,033","13,805","40,873",,"5,621"
2019 - 2020,School Nutrition Programs,85,Shenandoah County Public Schools,02/01/2020,1. Breakfast,9,"6,017",19,"16,425","1,736","5,178","23,339",,"5,587"
2019 - 2020,School Nutrition Programs,85,Shenandoah County Public Schools,02/01/2020,3. Lunch,9,"6,017",19,"27,826","3,256","14,840","45,922",,"5,587"
2019 - 2020,School Nutrition Programs,85,Shenandoah County Public Schools,03/01/2020,1. Breakfast,9,"6,024",9,"8,203",838,"2,430","11,471",,"5,638"
2019 - 2020,School Nutrition Programs,85,Shenandoah County Public Schools,03/01/2020,3. Lunch,9,"6,024",9,"13,463","1,489","6,828","21,780",,"5,638"
2019 - 2020,School Nutrition Programs,86,Smyth County Public Schools,09/01/2019,1. Breakfast,13,"4,287",20,"27,501",0,"8,346","35,847",,"4,066"
2019 - 2020,School Nutrition Programs,86,Smyth County Public Schools,09/01/2019,3. Lunch,13,"4,287",20,"47,017",0,"14,173","61,190",,"4,066"
2019 - 2020,School Nutrition Programs,86,Smyth County Public Schools,10/01/2019,1. Breakfast,13,"4,256",23,"36,147",0,"10,894","47,041",,"4,028"
2019 - 2020,School Nutrition Programs,86,Smyth County Public Schools,10/01/2019,3. Lunch,13,"4,256",23,"53,719",0,"16,182","69,901",,"4,028"
2019 - 2020,School Nutrition Programs,86,Smyth County Public Schools,11/01/2019,1. Breakfast,13,"4,271",16,"24,666",0,"7,436","32,102",,"4,011"
2019 - 2020,School Nutrition Programs,86,Smyth County Public Schools,11/01/2019,3. Lunch,13,"4,271",16,"36,899",0,"11,117","48,016",,"4,011"
2019 - 2020,School Nutrition Programs,86,Smyth County Public Schools,12/01/2019,1. Breakfast,13,"4,259",10,"14,399",0,"4,347","18,746",,"3,995"
2019 - 2020,School Nutrition Programs,86,Smyth County Public Schools,12/01/2019,3. Lunch,13,"4,259",10,"23,316",0,"7,032","30,348",,"3,995"
2019 - 2020,School Nutrition Programs,86,Smyth County Public Schools,01/01/2020,1. Breakfast,13,"4,255",19,"26,545",0,"8,015","34,560",,"3,898"
2019 - 2020,School Nutrition Programs,86,Smyth County Public Schools,01/01/2020,3. Lunch,13,"4,255",19,"41,321",0,"12,462","53,783",,"3,898"
2019 - 2020,School Nutrition Programs,86,Smyth County Public Schools,02/01/2020,1. Breakfast,13,"4,329",17,"24,675",0,"7,457","32,132",,"3,989"
2019 - 2020,School Nutrition Programs,86,Smyth County Public Schools,02/01/2020,3. Lunch,13,"4,329",16,"36,063",0,"10,870","46,933",,"3,989"
2019 - 2020,School Nutrition Programs,86,Smyth County Public Schools,03/01/2020,1. Breakfast,13,"4,316",10,"14,631",0,"4,419","19,050",,"3,967"
2019 - 2020,School Nutrition Programs,86,Smyth County Public Schools,03/01/2020,3. Lunch,13,"4,316",10,"22,585",0,"6,807","29,392",,"3,967"
2019 - 2020,School Nutrition Programs,87,Southampton County Public Schools,09/01/2019,1. Breakfast,6,"5,349",19,"12,247",690,"5,039","17,976",,"2,674"
2019 - 2020,School Nutrition Programs,87,Southampton County Public Schools,09/01/2019,3. Lunch,6,"2,739",19,"16,199",901,"5,611","22,711",,"2,674"
2019 - 2020,School Nutrition Programs,87,Southampton County Public Schools,10/01/2019,1. Breakfast,6,"2,750",23,"15,571","1,042","8,439","25,052",,"2,667"
2019 - 2020,School Nutrition Programs,87,Southampton County Public Schools,10/01/2019,3. Lunch,6,"2,750",23,"20,234","1,311","10,339","31,884",,"2,667"
2019 - 2020,School Nutrition Programs,944,Va Dept Of Military Affairs,02/01/2020,3. Lunch,1,114,28,"2,883",0,0,"2,883",,114
2019 - 2020,School Nutrition Programs,87,Southampton County Public Schools,11/01/2019,1. Breakfast,6,"2,783",18,"11,218",775,"6,988","18,981",,"2,669"
2019 - 2020,School Nutrition Programs,87,Southampton County Public Schools,11/01/2019,3. Lunch,6,"2,783",18,"14,536","1,077","8,961","24,574",,"2,669"
2019 - 2020,School Nutrition Programs,87,Southampton County Public Schools,12/01/2019,1. Breakfast,6,"2,781",15,"9,444",616,"5,263","15,323",,"2,665"
2019 - 2020,School Nutrition Programs,87,Southampton County Public Schools,12/01/2019,3. Lunch,6,"2,781",15,"12,867","1,033","7,068","20,968",,"2,665"
2019 - 2020,School Nutrition Programs,87,Southampton County Public Schools,01/01/2020,1. Breakfast,6,"2,801",19,"11,600",803,"6,205","18,608",,"2,647"
2019 - 2020,School Nutrition Programs,87,Southampton County Public Schools,01/01/2020,3. Lunch,6,"2,801",19,"15,988","1,246","8,209","25,443",,"2,647"
2019 - 2020,School Nutrition Programs,87,Southampton County Public Schools,02/01/2020,1. Breakfast,6,"2,786",18,"10,995",768,"6,023","17,786",,"2,634"
2019 - 2020,School Nutrition Programs,87,Southampton County Public Schools,02/01/2020,3. Lunch,6,"2,786",18,"15,420","1,240","8,080","24,740",,"2,633"
2019 - 2020,School Nutrition Programs,87,Southampton County Public Schools,03/01/2020,1. Breakfast,6,"2,785",10,"6,050",446,"3,274","9,770",,"2,763"
2019 - 2020,School Nutrition Programs,87,Southampton County Public Schools,03/01/2020,3. Lunch,6,"2,785",10,"8,403",698,"4,443","13,544",,"2,763"
2019 - 2020,School Nutrition Programs,88,Spotsylvania County Public Schools,09/01/2019,1. Breakfast,2,"2,411",20,"2,412",281,"1,440","4,133",,"2,143"
2019 - 2020,School Nutrition Programs,88,Spotsylvania County Public Schools,09/01/2019,1. Breakfast,28,"23,077",20,"66,692","8,944","29,082","104,718",,"20,744"
2019 - 2020,School Nutrition Programs,88,Spotsylvania County Public Schools,09/01/2019,3. Lunch,30,"25,461",20,"119,024","18,658","108,272","245,954",,"22,887"
2019 - 2020,School Nutrition Programs,88,Spotsylvania County Public Schools,10/01/2019,1. Breakfast,2,"2,406",22,"2,662",255,"1,661","4,578",,"2,076"
2019 - 2020,School Nutrition Programs,88,Spotsylvania County Public Schools,10/01/2019,1. Breakfast,28,"23,770",22,"75,440","9,852","36,245","121,537",,"21,433"
2019 - 2020,School Nutrition Programs,88,Spotsylvania County Public Schools,10/01/2019,3. Lunch,30,"26,176",22,"128,945","19,935","124,645","273,525",,"23,509"
2019 - 2020,School Nutrition Programs,88,Spotsylvania County Public Schools,11/01/2019,1. Breakfast,2,"2,390",17,"2,189",196,"1,407","3,792",,"2,045"
2019 - 2020,School Nutrition Programs,88,Spotsylvania County Public Schools,11/01/2019,1. Breakfast,28,"22,762",17,"60,626","7,875","28,970","97,471",,"20,149"
2019 - 2020,School Nutrition Programs,88,Spotsylvania County Public Schools,11/01/2019,3. Lunch,30,"25,152",17,"101,827","15,692","97,224","214,743",,"22,239"
2019 - 2020,School Nutrition Programs,88,Spotsylvania County Public Schools,12/01/2019,1. Breakfast,2,"2,351",15,"1,712",133,"1,019","2,864",,"2,005"
2019 - 2020,School Nutrition Programs,88,Spotsylvania County Public Schools,12/01/2019,1. Breakfast,28,"21,823",15,"48,856","6,090","22,429","77,375",,"19,145"
2019 - 2020,School Nutrition Programs,88,Spotsylvania County Public Schools,12/01/2019,3. Lunch,30,"24,175",15,"83,784","12,561","78,621","174,966",,"21,150"
2019 - 2020,School Nutrition Programs,88,Spotsylvania County Public Schools,01/01/2020,1. Breakfast,2,"2,348",18,"2,098",179,"1,285","3,562",,"2,040"
2019 - 2020,School Nutrition Programs,88,Spotsylvania County Public Schools,01/01/2020,1. Breakfast,28,"21,822",18,"59,807","7,511","27,198","94,516",,"19,297"
2019 - 2020,School Nutrition Programs,88,Spotsylvania County Public Schools,01/01/2020,3. Lunch,30,"24,170",18,"106,453","16,113","98,653","221,219",,"21,337"
2019 - 2020,School Nutrition Programs,88,Spotsylvania County Public Schools,02/01/2020,1. Breakfast,2,"2,349",19,"2,300",211,"1,357","3,868",,"2,018"
2019 - 2020,School Nutrition Programs,88,Spotsylvania County Public Schools,02/01/2020,1. Breakfast,28,"21,776",19,"66,441","8,519","30,020","104,980",,"19,026"
2019 - 2020,School Nutrition Programs,88,Spotsylvania County Public Schools,02/01/2020,3. Lunch,30,"24,125",19,"114,116","17,465","105,042","236,623",,"21,044"
2019 - 2020,School Nutrition Programs,88,Spotsylvania County Public Schools,03/01/2020,1. Breakfast,2,"2,349",8,926,76,651,"1,653",,"2,018"
2019 - 2020,School Nutrition Programs,88,Spotsylvania County Public Schools,03/01/2020,1. Breakfast,28,"21,812",19,"27,467","3,653","13,208","44,328",,"19,026"
2019 - 2020,School Nutrition Programs,88,Spotsylvania County Public Schools,03/01/2020,3. Lunch,30,"24,161",8,"47,616","7,328","44,755","99,699",,"21,044"
2019 - 2020,School Nutrition Programs,89,Stafford County Public Schools,09/01/2019,1. Breakfast,23,"21,704",20,"68,398","9,854","35,076","113,328",,"20,763"
2019 - 2020,School Nutrition Programs,89,Stafford County Public Schools,09/01/2019,1. Breakfast,8,"8,322",20,"12,144","1,875","9,010","23,029",,"8,012"
2019 - 2020,School Nutrition Programs,89,Stafford County Public Schools,09/01/2019,3. Lunch,31,"30,026",20,"126,232","19,526","137,410","283,168",,"28,787"
2019 - 2020,School Nutrition Programs,89,Stafford County Public Schools,10/01/2019,1. Breakfast,23,"21,632",22,"75,848","11,204","40,993","128,045",,"20,688"
2019 - 2020,School Nutrition Programs,89,Stafford County Public Schools,10/01/2019,1. Breakfast,8,"8,301",22,"13,619","2,296","10,793","26,708",,"7,940"
2019 - 2020,School Nutrition Programs,89,Stafford County Public Schools,10/01/2019,3. Lunch,31,"29,936",22,"135,099","22,242","157,770","315,111",,"28,637"
2019 - 2020,School Nutrition Programs,89,Stafford County Public Schools,10/01/2019,4. PM Snack,1,630,7,81,12,70,163,,599
2019 - 2020,School Nutrition Programs,89,Stafford County Public Schools,11/01/2019,1. Breakfast,23,"22,027",16,"56,921","8,785","28,860","94,566",,"20,511"
2019 - 2020,School Nutrition Programs,89,Stafford County Public Schools,11/01/2019,1. Breakfast,8,"8,319",16,"10,250","1,679","8,066","19,995",,"7,840"
2019 - 2020,School Nutrition Programs,89,Stafford County Public Schools,11/01/2019,3. Lunch,31,"30,052",16,"99,364","16,879","114,217","230,460",,"28,357"
2019 - 2020,School Nutrition Programs,89,Stafford County Public Schools,11/01/2019,4. PM Snack,1,630,12,141,8,103,252,,599
2019 - 2020,School Nutrition Programs,89,Stafford County Public Schools,12/01/2019,1. Breakfast,23,"21,701",15,"46,777","7,152","23,738","77,667",,"20,442"
2019 - 2020,School Nutrition Programs,89,Stafford County Public Schools,12/01/2019,1. Breakfast,8,"8,307",15,"8,371","1,444","6,682","16,497",,"7,883"
2019 - 2020,School Nutrition Programs,89,Stafford County Public Schools,12/01/2019,3. Lunch,31,"30,008",15,"92,984","15,691","107,321","215,996",,"28,312"
2019 - 2020,School Nutrition Programs,89,Stafford County Public Schools,12/01/2019,4. PM Snack,1,635,9,126,3,106,235,,603
2019 - 2020,School Nutrition Programs,89,Stafford County Public Schools,01/01/2020,1. Breakfast,23,"21,789",16,"52,540","7,603","25,162","85,305",,"20,584"
2019 - 2020,School Nutrition Programs,89,Stafford County Public Schools,01/01/2020,1. Breakfast,8,"8,320",16,"9,675","1,486","7,322","18,483",,"7,881"
2019 - 2020,School Nutrition Programs,89,Stafford County Public Schools,01/01/2020,3. Lunch,31,"30,109",16,"103,490","15,919","110,948","230,357",,"28,465"
2019 - 2020,School Nutrition Programs,89,Stafford County Public Schools,01/01/2020,4. PM Snack,1,632,11,163,13,146,322,,601
2019 - 2020,School Nutrition Programs,89,Stafford County Public Schools,02/01/2020,1. Breakfast,23,"21,813",19,"69,672","9,143","32,566","111,381",,"20,545"
2019 - 2020,School Nutrition Programs,89,Stafford County Public Schools,02/01/2020,1. Breakfast,8,"8,330",19,"12,882","1,948","9,469","24,299",,"7,888"
2019 - 2020,School Nutrition Programs,89,Stafford County Public Schools,02/01/2020,3. Lunch,31,"30,143",19,"126,673","18,393","130,488","275,554",,"28,433"
2019 - 2020,School Nutrition Programs,89,Stafford County Public Schools,02/01/2020,4. PM Snack,1,630,13,180,19,140,339,,589
2019 - 2020,School Nutrition Programs,89,Stafford County Public Schools,03/01/2020,1. Breakfast,23,"21,877",8,"29,146","3,799","13,859","46,804",,"21,181"
2019 - 2020,School Nutrition Programs,89,Stafford County Public Schools,03/01/2020,1. Breakfast,8,"8,345",8,"5,439",772,"4,101","10,312",,"8,108"
2019 - 2020,School Nutrition Programs,89,Stafford County Public Schools,03/01/2020,3. Lunch,31,"30,220",9,"53,292","7,657","55,924","116,873",,"29,312"
2019 - 2020,School Nutrition Programs,89,Stafford County Public Schools,03/01/2020,4. PM Snack,1,635,4,63,2,47,112,,616
2019 - 2020,School Nutrition Programs,9,Bath County Public Schools,09/01/2019,1. Breakfast,3,532,20,"3,062",881,"2,450","6,393",,513
2019 - 2020,School Nutrition Programs,9,Bath County Public Schools,09/01/2019,3. Lunch,3,532,20,"3,741","1,131","3,115","7,987",,513
2019 - 2020,School Nutrition Programs,9,Bath County Public Schools,10/01/2019,1. Breakfast,3,528,22,"3,197",943,"2,967","7,107",,505
2019 - 2020,School Nutrition Programs,9,Bath County Public Schools,10/01/2019,3. Lunch,3,528,22,"3,866","1,151","3,756","8,773",,505
2019 - 2020,School Nutrition Programs,9,Bath County Public Schools,11/01/2019,1. Breakfast,3,536,16,"2,207",596,"2,197","5,000",,507
2019 - 2020,School Nutrition Programs,9,Bath County Public Schools,11/01/2019,3. Lunch,3,536,16,"2,757",759,"2,763","6,279",,507
2019 - 2020,School Nutrition Programs,9,Bath County Public Schools,12/01/2019,1. Breakfast,3,537,13,"1,490",390,"1,438","3,318",,509
2019 - 2020,School Nutrition Programs,9,Bath County Public Schools,12/01/2019,3. Lunch,3,537,13,"2,285",614,"2,198","5,097",,509
2019 - 2020,School Nutrition Programs,9,Bath County Public Schools,01/01/2020,1. Breakfast,3,538,13,"1,585",415,"1,466","3,466",,483
2019 - 2020,School Nutrition Programs,9,Bath County Public Schools,01/01/2020,3. Lunch,3,538,13,"2,214",576,"2,032","4,822",,483
2019 - 2020,School Nutrition Programs,9,Bath County Public Schools,02/01/2020,1. Breakfast,3,535,18,"2,518",547,"2,112","5,177",,499
